,filename,Percentile value of 90 %,Percentile value of 75 %
137,n04023962_16758,[0.7401602268218994],[0.5823351740837097]
138,n04023962_16855,[0.40022027492523193],[0.27550992369651794]
139,n04023962_16859,[0.6524384617805481],[0.5867848992347717]
140,n04023962_16880,[0.8904770612716675],[0.8690464496612549]
141,n04023962_1690,[0.8242936134338379],[0.749355673789978]
142,n04023962_16937,[0.39072155952453613],[0.3602316975593567]
143,n04023962_17096,[0.6236156225204468],[0.48259782791137695]
144,n04023962_17151,[0.9217023849487305],[0.584856390953064]
145,n04023962_17210,[0.8147319555282593],[0.5216816067695618]
146,n04023962_17345,[0.7717815637588501],[0.6109290719032288]
147,n04023962_17395,[0.5593506097793579],[0.5284532904624939]
148,n04023962_17408,[0.6643596887588501],[0.40549224615097046]
149,n04023962_17435,[0.7709602117538452],[0.6073117256164551]
150,n04023962_17528,[0.7306116819381714],[0.537064790725708]
151,n04023962_17553,[0.8152757883071899],[0.6940667629241943]
152,n04023962_17564,[0.6095322370529175],[0.49996036291122437]
153,n04023962_17599,[0.7574582099914551],[0.614271879196167]
154,n04023962_17638,[0.8027716279029846],[0.6336325407028198]
155,n04023962_17673,[0.6057973504066467],[0.4238414168357849]
156,n04023962_17684,[0.7751579284667969],[0.640125572681427]
157,n04023962_17705,[0.970903754234314],[0.8510677814483643]
158,n04023962_18048,[0.8402339816093445],[0.7616864442825317]
159,n04023962_18187,[0.5983039736747742],[0.43740084767341614]
160,n04023962_18197,[0.7936673760414124],[0.6525478959083557]
161,n04023962_1823,[0.8273672461509705],[0.5921140909194946]
162,n04023962_18285,[0.7360273003578186],[0.5737639665603638]
163,n04023962_18315,[0.995830774307251],[0.9189983010292053]
164,n04023962_18431,[0.7507902383804321],[0.6098646521568298]
165,n04023962_18448,[0.571559488773346],[0.447357177734375]
166,n04023962_18495,[0.852745771408081],[0.7421573400497437]
167,n04023962_18563,[0.45620957016944885],[0.38220322132110596]
168,n04023962_18587,[0.7742389440536499],[0.6857506036758423]
169,n04023962_18602,[0.6633886098861694],[0.422438383102417]
170,n04023962_18630,[0.6363742351531982],[0.5127458572387695]
171,n04023962_18636,[0.4543520212173462],[0.283502995967865]
172,n04023962_18704,[0.7020209431648254],[0.4819759726524353]
173,n04023962_18733,[0.6864737868309021],[0.5651990175247192]
174,n04023962_18760,[0.5719128847122192],[0.42604008316993713]
175,n04023962_18939,[0.972446084022522],[0.8770503997802734]
176,n04023962_18941,[0.6936023235321045],[0.5070866942405701]
177,n04023962_19126,[0.9728237390518188],[0.9188097715377808]
178,n04023962_19214,[0.8884660005569458],[0.7906993627548218]
179,n04023962_1924,[0.8724074363708496],[0.7201558351516724]
180,n04023962_19250,[0.8579039573669434],[0.6682419776916504]
181,n04023962_19651,[0.7244629859924316],[0.4510846436023712]
182,n04023962_19770,[0.948369026184082],[0.720565676689148]
183,n04023962_19790,[0.7001890540122986],[0.3867487907409668]
184,n04023962_1981,[0.483256995677948],[0.42305904626846313]
185,n04023962_19833,[0.8812240362167358],[0.8812239766120911]
186,n04023962_19842,[0.8967042565345764],[0.6640414595603943]
187,n04023962_1992,[0.8780112266540527],[0.465056836605072]
188,n04023962_19957,[0.735405683517456],[0.6314992904663086]
189,n04023962_20126,[0.6351978778839111],[0.5322951674461365]
190,n04023962_20163,[0.5191330909729004],[0.39212754368782043]
191,n04023962_20230,[0.8615782260894775],[0.563389003276825]
